Time(sentisec);X_A(m);Y_A(m);X_L(m);Y_L(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_F(m);Y_F(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_K(m);Y_K(m)
1780900.0;9091.6011;14025.0497;9092.0746;14025.9242;9093.2078;14021.0108;9092.6801;14023.7529;9085.518;14040.6232;9092.6475;14022.1072;9092.6166;14023.5944;9092.9528;14021.4583;9090.0616;14027.3377;9092.7118;14021.7998
1780920.0;9091.6104;14025.0208;9092.1368;14025.9689;9093.2376;14021.0093;9092.6963;14023.6648;9085.4853;14040.6343;9092.6104;14022.1746;9092.5698;14023.5704;9092.943;14021.4009;9089.9089;14027.4416;9092.7644;14021.807
1780940.0;9091.6289;14024.9585;9092.1902;14025.9959;9093.2549;14021.0341;9092.8072;14023.535;9085.451;14040.6463;9092.5766;14022.2333;9092.5304;14023.5251;9092.925;14021.389;9089.7336;14027.5507;9092.8148;14021.7874
1780960.0;9091.6464;14024.8658;9092.2212;14026.0079;9093.2561;14021.0718;9093.0471;14023.3035;9085.4205;14040.6583;9092.5449;14022.2736;9092.5037;14023.4581;9092.908;14021.4134;9089.5439;14027.662;9092.8587;14021.7472
1780980.0;9091.6584;14024.7508;9092.2295;14026.0079;9093.2424;14021.1084;9093.3882;14022.8972;9085.3946;14040.6737;9092.5143;14022.2963;9092.4913;14023.3795;9092.8994;14021.4594;9089.3493;14027.7705;9092.8941;14021.6981
1781000.0;9091.6664;14024.6229;9092.2263;14025.9959;9093.2207;14021.134;9093.7173;14022.2742;9085.3693;14040.6974;9092.485;14022.3064;9092.4882;14023.3038;9092.9022;14021.511;9089.1614;14027.8666;9092.9246;14021.6505
1781020.0;9091.6744;14024.489;9092.2278;14025.9685;9093.1994;14021.1478;9093.8419;14021.467;9085.3397;14040.7307;9092.4591;14022.3101;9092.4864;14023.2415;9092.9212;14021.5506;9088.9948;14027.9344;9092.9586;14021.6116
1781040.0;9091.6868;14024.354;9092.2456;14025.9217;9093.1834;14021.1575;9093.5737;14020.5879;9085.3041;14040.7683;9092.4397;14022.3109;9092.4799;14023.1969;9092.9689;14021.5616;9088.8658;14027.9569;9093.004;14021.5826
1781060.0;9091.7056;14024.2234;9092.2828;14025.8553;9093.1722;14021.1719;9092.8484;14019.7889;9085.2628;14040.8026;9092.4272;14022.3101;9092.4678;14023.1723;9093.058;14021.5344;9088.7842;14027.9286;9093.0641;14021.5581
1781080.0;9091.7292;14024.1024;9092.3365;14025.7713;9093.1617;14021.1962;9091.8134;14019.2022;9085.2175;14040.8286;9092.4192;14022.3068;9092.4531;14023.169;9093.1877;14021.4708;9088.7437;14027.8644;9093.1365;14021.5307
1781100.0;9091.7527;14023.9934;9092.4035;14025.672;9093.149;14021.2311;9090.7897;14018.887;9085.1699;14040.8469;9092.4111;14022.2983;9092.4402;14023.1828;9093.3372;14021.3824;9088.7238;14027.7942;9093.217;14021.4964
1781120.0;9091.7714;14023.8957;9092.4825;14025.5582;9093.1354;14021.2757;9090.0806;14018.8057;9085.1229;14040.8615;9092.3988;14022.2813;9092.4337;14023.2034;9093.4756;14021.2819;9088.7026;14027.7435;9093.3038;14021.4594
1781140.0;9091.783;14023.8093;9092.573;14025.4316;9093.1278;14021.3281;9089.783;14018.8591;9085.0788;14040.8754;9092.38;14022.2548;9092.4371;14023.2208;9093.5809;14021.1775;9088.6673;14027.7222;9093.3987;14021.4284
1781160.0;9091.7888;14023.7361;9092.6712;14025.2966;9093.1336;14021.3844;9089.7885;14018.9532;9085.0383;14040.8901;9092.3563;14022.2232;9092.4531;14023.2312;9093.6495;14021.0734;9088.6163;14027.727;9093.5058;14021.4105
1781180.0;9091.7911;14023.6793;9092.7711;14025.1576;9093.1549;14021.4401;9089.9328;14019.0436;9085.0004;14040.9054;9092.332;14022.1969;9092.4825;14023.2354;9093.6909;14020.9745;9088.5526;14027.7502;9093.6282;14021.4085
1781200.0;9091.7917;14023.6394;9092.8671;14025.0147;9093.1869;14021.4902;9090.118;14019.1346;9084.9638;14040.9211;9092.3111;14022.1866;9092.5231;14023.2354;9093.7155;14020.8886;9088.4802;14027.7849;9093.7635;14021.4193
1781220.0;9091.7919;14023.6113;9092.9569;14024.8641;9093.2203;14021.5314;9090.3171;14019.2499;9084.9278;14040.9369;9092.2937;14022.1969;9092.5697;14023.2304;9093.7299;14020.8227;9088.4017;14027.8265;9093.9063;14021.4329
1781240.0;9091.7919;14023.5882;9093.0403;14024.7033;9093.2465;14021.5649;9090.527;14019.403;9084.892;14040.9528;9092.2763;14022.2232;9092.6182;14023.2164;9093.7393;14020.7811;9088.3202;14027.871;9094.0486;14021.4281
1781260.0;9091.7919;14023.5651;9093.1166;14024.5354;9093.2611;14021.5979;9090.7376;14019.5927;9084.8561;14040.9687;9092.2554;14022.2548;9092.6694;14023.1873;9093.7512;14020.7658;9088.2372;14027.9169;9094.186;14021.3856
1781280.0;9091.7919;14023.543;9093.1842;14024.3687;9093.2667;14021.639;9090.9489;14019.808;9084.8203;14040.9846;9092.231;14022.2815;9092.7312;14023.1374;9093.7713;14020.7765;9088.1537;14027.9631;9094.3035;14021.2878
1781300.0;9091.7919;14023.5263;9093.2424;14024.2129;9093.2725;14021.6931;9091.1649;14020.0357;9084.7844;14041.0004;9092.2066;14022.2995;9092.812;14023.0649;9093.7983;14020.8103;9088.0701;14028.0094;9094.3759;14021.1356
1781320.0;9091.7919;14023.5187;9093.2926;14024.0747;9093.2882;14021.7575;9091.3842;14020.2615;9084.7486;14041.0163;9092.1855;14022.3114;9092.9137;14022.9735;9093.8235;14020.8638;9087.9863;14028.0555;9094.3793;14020.9692
1781340.0;9091.792;14023.5197;9093.3377;14023.9559;9093.316;14021.8249;9091.5948;14020.4644;9084.7127;14041.0322;9092.1674;14022.3232;9093.0285;14022.8708;9093.8369;14020.9332;9087.9021;14028.101;9094.3153;14020.8803
1781360.0;9091.7927;14023.5237;9093.3807;14023.855;9093.3474;14021.8889;9091.779;14020.6233;9084.6769;14041.0481;9092.1477;14022.3414;9093.1455;14022.7645;9093.8334;14021.0123;9087.8169;14028.1453;9094.218;14020.9729
1781380.0;9091.795;14023.5224;9093.4231;14023.7706;9093.369;14021.9474;9091.9241;14020.7327;9084.641;14041.064;9092.1211;14022.3692;9093.2575;14022.6566;9093.8143;14021.0917;9087.7299;14028.1872;9094.1282;14021.2765
1781400.0;9091.8007;14023.5093;9093.4662;14023.7041;9093.3722;14022.0006;9092.0302;14020.8074;9084.6052;14041.0799;9092.0852;14022.404;9093.3668;14022.5412;9093.7836;14021.1649;9087.6403;14028.2256;9094.0667;14021.7045
1781420.0;9091.8124;14023.4859;9093.5126;14023.6574;9093.3602;14022.0476;9092.1063;14020.8728;9084.5694;14041.0957;9092.0428;14022.4388;9093.4813;14022.4098;9093.744;14021.234;9087.5477;14028.26;9094.0341;14022.1184
1781440.0;9091.831;14023.4605;9093.5656;14023.6296;9093.3478;14022.0858;9092.1649;14020.944;9084.5335;14041.1116;9092.0006;14022.4664;9093.6067;14022.2611;9093.6984;14021.3065;9087.4525;14028.2909;9094.0237;14022.4323
