Time(sentisec);X_A(m);Y_A(m);X_F(m);Y_F(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_K(m);Y_K(m);X_L(m);Y_L(m)
5800920.0;2992.4463;1851.8216;3003.2928;1877.57;2989.489;1854.6926;2987.6289;1848.8861;3000.0933;1851.8304;2985.7516;1852.6649;2975.9136;1845.8518;2985.9303;1855.9819
5800940.0;2992.5372;1851.8216;3003.2046;1877.3649;2989.4713;1854.6605;2987.6723;1848.8798;2999.9624;1851.8587;2985.6615;1852.7809;2975.8696;1845.8486;2985.8799;1856.0535
5800960.0;2992.6217;1851.8216;3003.1128;1877.1694;2989.4539;1854.6012;2987.7253;1848.8771;2999.8472;1851.8997;2985.613;1852.8668;2975.8235;1845.8316;2985.8317;1856.1281
5800980.0;2992.7003;1851.8216;3003.0158;1876.9757;2989.4408;1854.5359;2987.7876;1848.8775;2999.7474;1851.9409;2985.585;1852.9414;2975.7868;1845.7936;2985.7913;1856.2055
5801000.0;2992.7729;1851.8216;3002.9154;1876.7809;2989.434;1854.4867;2987.8536;1848.8816;2999.6657;1851.9688;2985.5475;1853.0226;2975.7725;1845.7347;2985.7655;1856.2884
5801020.0;2992.8393;1851.822;3002.8165;1876.59;2989.429;1854.4672;2987.9159;1848.8924;2999.6043;1851.9758;2985.4815;1853.1124;2975.7865;1845.6615;2985.7618;1856.3819
5801040.0;2992.8998;1851.8236;3002.7243;1876.4121;2989.4173;1854.4798;2987.9688;1848.913;2999.5629;1851.9621;2985.3884;1853.1966;2975.8222;1845.5821;2985.7899;1856.4917
5801060.0;2992.956;1851.8286;3002.6394;1876.2501;2989.3975;1854.5171;2988.0096;1848.944;2999.5362;1851.9348;2985.2861;1853.2551;2975.8645;1845.5026;2985.8599;1856.6218
5801080.0;2993.0112;1851.8406;3002.5575;1876.0993;2989.3815;1854.5633;2988.0376;1848.9823;2999.5138;1851.9071;2985.1981;1853.2728;2975.8994;1845.4261;2985.975;1856.7747
5801100.0;2993.0685;1851.8631;3002.473;1875.9506;2989.3869;1854.6003;2988.0529;1849.0237;2999.4846;1851.8969;2985.1436;1853.2433;2975.919;1845.3511;2986.1232;1856.9502
5801120.0;2993.1283;1851.8957;3002.3832;1875.7964;2989.4236;1854.6176;2988.0563;1849.0664;2999.4402;1851.9222;2985.1318;1853.1688;2975.9224;1845.271;2986.2799;1857.1388
5801140.0;2993.1872;1851.9327;3002.2882;1875.6293;2989.4861;1854.6167;2988.0481;1849.1099;2999.3788;1851.9895;2985.1616;1853.0601;2975.9114;1845.1777;2986.4184;1857.3197
5801160.0;2993.2394;1851.965;3002.1878;1875.444;2989.5606;1854.6048;2988.0289;1849.1518;2999.306;1852.0884;2985.2239;1852.9354;2975.8896;1845.0655;2986.5191;1857.4669
5801180.0;2993.2797;1851.9862;3002.0817;1875.2404;2989.6346;1854.5859;2988.0016;1849.1875;2999.2313;1852.1922;2985.3047;1852.8178;2975.8612;1844.9359;2986.5728;1857.5595
5801200.0;2993.2993;1851.9948;3001.974;1875.0308;2989.7027;1854.5576;2987.9697;1849.2153;2999.1637;1852.2703;2985.3909;1852.7324;2975.8295;1844.7987;2986.5818;1857.5887
5801220.0;2993.2852;1851.9928;3001.8744;1874.8376;2989.7628;1854.5188;2987.9314;1849.2394;2999.1075;1852.3052;2985.4756;1852.6976;2975.7941;1844.6708;2986.5606;1857.5591
5801240.0;2993.2258;1851.984;3001.7925;1874.6836;2989.8122;1854.4745;2987.8814;1849.2673;2999.0613;1852.2969;2985.5601;1852.7176;2975.7496;1844.5688;2986.5293;1857.4838
5801260.0;2993.1237;1851.9742;3001.7329;1874.5809;2989.8473;1854.4351;2987.821;1849.3033;2999.0201;1852.2572;2985.6451;1852.7796;2975.6883;1844.5034;2986.5034;1857.3783
5801280.0;2993.0018;1851.9703;3001.6935;1874.5271;2989.8656;1854.4081;2987.766;1849.3462;2998.9794;1852.1982;2985.7255;1852.8556;2975.6022;1844.4772;2986.4877;1857.255
5801300.0;2992.8924;1851.9765;3001.6668;1874.503;2989.8666;1854.3946;2987.7388;1849.3921;2998.9353;1852.1271;2985.7921;1852.9125;2975.4856;1844.486;2986.4789;1857.1194
5801320.0;2992.817;1851.9926;3001.6412;1874.4761;2989.8504;1854.3911;2987.751;1849.4392;2998.8846;1852.0466;2985.8397;1852.9205;2975.3377;1844.5236;2986.4722;1856.9719
5801340.0;2992.7774;1852.0179;3001.6011;1874.4085;2989.8168;1854.394;2987.7971;1849.4879;2998.8228;1851.9591;2985.8686;1852.8641;2975.1682;1844.5798;2986.4657;1856.8121
