Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m);X_M(m);Y_M(m)
3846160.0;3029.9675;1830.0885;3033.5985;1829.9428;3032.6621;1831.3166;3031.1643;1827.3051;3032.8393;1831.1545;3032.9396;1831.7808;3029.2421;1832.947;3002.3977;1868.6802;3026.835;1836.3744
3846180.0;3028.2811;1831.0701;3031.9414;1830.8315;3030.9286;1832.2666;3029.5006;1828.1126;3031.0729;1832.0315;3031.1012;1832.7018;3027.5906;1833.9215;3003.6461;1870.1081;3026.0157;1837.5815
3846200.0;3026.5317;1831.967;3030.2406;1831.6275;3029.1387;1833.0958;3027.7602;1828.8256;3029.2612;1832.8286;3029.1664;1833.5063;3025.8321;1834.7365;3004.8259;1871.5494;3024.7114;1838.6351
3846220.0;3024.7149;1832.7484;3028.4852;1832.32;3027.2963;1833.7982;3025.9487;1829.4497;3027.3948;1833.5358;3027.132;1834.1885;3023.9551;1835.3915;3005.9343;1872.9921;3022.8582;1839.4516
3846240.0;3022.8208;1833.3955;3026.6593;1832.9046;3025.4007;1834.3818;3024.0711;1830.0025;3025.4623;1834.1452;3024.9977;1834.7564;3021.9567;1835.9128;3006.9694;1874.4258;3020.5489;1839.9636
3846260.0;3020.8419;1833.9138;3024.7451;1833.3889;3023.4494;1834.8701;3022.1316;1830.5113;3023.4517;1834.6633;3022.7683;1835.2332;3019.8455;1836.3518;3007.9284;1875.8426;3017.9709;1840.1795
3846280.0;3018.78;1834.338;3022.7294;1833.798;3021.4408;1835.2972;3020.1365;1831.0074;3021.3552;1835.1142;3020.4552;1835.6552;3017.6366;1836.7776;3008.8141;1877.234;3015.3035;1840.1995
3846300.0;3016.6478;1834.7253;3020.6088;1834.1741;3019.3766;1835.7042;3018.093;1831.5174;3019.1731;1835.5331;3018.0759;1836.0692;3015.3462;1837.2601;3009.6401;1878.5917;3012.6535;1840.1743
3846320.0;3014.4639;1835.1398;3018.3943;1834.5667;3017.262;1836.1382;3016.0071;1832.0592;3016.9162;1835.9608;3015.6517;1836.5266;3012.9961;1837.8506;3010.428;1879.9089;3010.0549;1840.2403
3846340.0;3012.2477;1835.6362;3016.1124;1835.0231;3015.1057;1836.6468;3013.8824;1832.6435;3014.6031;1836.4403;3013.2074;1837.0744;3010.6216;1838.5708;3011.1985;1881.1818;3007.5051;1840.4841
