Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_L(m);Y_L(m)
1678920.0;3001.1392;1850.8121;2999.5983;1852.9668;3001.5762;1854.8064;3000.8372;1856.3572;3001.4083;1850.2254;3005.4429;1853.9429;2995.7415;1851.4938
1678940.0;3001.0899;1850.8456;2999.5665;1852.8888;3001.6049;1854.8294;3000.78;1856.4285;3001.4085;1850.2461;3005.7254;1854.0658;2995.8582;1851.4001
1678960.0;3001.0588;1850.8771;2999.5425;1852.8227;3001.6224;1854.8375;3000.7437;1856.5202;3001.4083;1850.2958;3005.9716;1854.2046;2995.9763;1851.2975
1678980.0;3001.0418;1850.9094;2999.5345;1852.791;3001.6273;1854.8294;3000.7248;1856.6197;3001.4077;1850.3674;3006.1224;1854.3543;2996.0851;1851.1982
1679000.0;3001.0324;1850.9496;2999.5441;1852.8034;3001.6252;1854.806;3000.7134;1856.7124;3001.4051;1850.4521;3006.1525;1854.5099;2996.1818;1851.1089
1679020.0;3001.0241;1851.001;2999.5644;1852.849;3001.6273;1854.7693;3000.7015;1856.7882;3001.398;1850.543;3006.0751;1854.6594;2996.2721;1851.025
1679040.0;3001.0118;1851.0561;2999.5847;1852.9053;3001.6467;1854.7213;3000.6877;1856.8446;3001.3818;1850.6374;3005.925;1854.7826;2996.3653;1850.9351
1679060.0;3000.993;1851.0992;2999.5944;1852.9549;3001.6908;1854.6648;3000.6764;1856.8832;3001.3517;1850.7367;3005.7378;1854.861;2996.4678;1850.8312
1679080.0;3000.9693;1851.1187;2999.5839;1852.992;3001.7573;1854.6036;3000.6726;1856.9077;3001.3049;1850.8452;3005.5402;1854.8894;2996.5784;1850.7143
1679100.0;3000.945;1851.1166;2999.5464;1853.017;3001.8357;1854.5405;3000.6792;1856.9265;3001.2447;1850.9656;3005.3501;1854.8783;2996.6884;1850.5925
1679120.0;3000.9242;1851.1041;2999.482;1853.0284;3001.9108;1854.4768;3000.6957;1856.9548;3001.1813;1851.097;3005.1785;1854.8446;2996.7884;1850.4746
1679140.0;3000.9075;1851.0922;2999.4004;1853.0234;3001.9695;1854.4117;3000.7188;1857.0067;3001.1289;1851.235;3005.0269;1854.8013;2996.8745;1850.3649
1679160.0;3000.8925;1851.0847;2999.3182;1853.0027;3002.0069;1854.3436;3000.7429;1857.0855;3001.0998;1851.3766;3004.8868;1854.7544;2996.9487;1850.2644
1679180.0;3000.878;1851.0805;2999.2536;1852.9727;3002.0268;1854.2727;3000.7642;1857.1782;3001.0986;1851.524;3004.7437;1854.7074;2997.016;1850.1739
1679200.0;3000.8677;1851.0759;2999.2207;1852.9404;3002.0373;1854.2021;3000.7837;1857.2634;3001.1216;1851.6825;3004.587;1854.6647;2997.0799;1850.0954
1679220.0;3000.8683;1851.0662;2999.2297;1852.9099;3002.0464;1854.1367;3000.808;1857.3213;3001.1592;1851.8567;3004.4148;1854.6299;2997.1422;1850.0302
1679240.0;3000.8848;1851.046;2999.2869;1852.8803;3002.058;1854.0812;3000.8469;1857.3408;3001.2001;1852.0467;3004.2322;1854.6012;2997.2026;1849.977
1679260.0;3000.9147;1851.0108;2999.3915;1852.8488;3002.0697;1854.0372;3000.908;1857.3162;3001.235;1852.2465;3004.0437;1854.5713;2997.2589;1849.932
1679280.0;3000.9489;1850.9605;2999.5304;1852.8153;3002.0748;1854.0032;3000.9913;1857.2443;3001.2596;1852.4448;3003.8495;1854.5316;2997.3074;1849.894
1679300.0;3000.9761;1850.9008;2999.6803;1852.7872;3002.0677;1853.9751;3001.0859;1857.124;3001.2742;1852.6273;3003.6479;1854.4782;2997.3443;1849.8668
1679320.0;3000.9882;1850.8418;2999.8188;1852.7765;3002.0509;1853.949;3001.171;1856.9564;3001.2832;1852.7821;3003.4397;1854.4147;2997.3669;1849.8571
1679340.0;3000.9833;1850.7922;2999.9368;1852.7909;3002.0343;1853.9238;3001.2257;1856.7458;3001.2927;1852.9032;3003.2281;1854.3492;2997.3738;1849.8694
1679360.0;3000.9663;1850.7551;3000.0372;1852.827;3002.0265;1853.9015;3001.2414;1856.5036;3001.3098;1852.9879;3003.018;1854.2884;2997.3641;1849.9033
1679380.0;3000.9458;1850.7256;3000.1251;1852.8746;3002.0295;1853.8821;3001.2284;1856.2522;3001.3415;1853.0329;3002.8153;1854.2331;2997.3363;1849.9581
1679400.0;3000.9301;1850.6924;3000.2017;1852.9246;3002.0405;1853.8616;3001.2077;1856.0205;3001.3932;1853.0331;3002.6272;1854.1771;2997.2901;1850.0356
1679420.0;3000.9243;1850.6418;3000.2679;1852.9741;3002.056;1853.834;3001.1948;1855.8279;3001.467;1852.9872;3002.4597;1854.1117;2997.2294;1850.1373
1679440.0;3000.9304;1850.5634;3000.3282;1853.025;3002.0717;1853.7971;3001.1896;1855.6753;3001.5609;1852.9035;3002.3148;1854.0295;2997.1636;1850.2562
1679460.0;3000.9475;1850.4534;3000.3889;1853.0783;3002.0813;1853.7562;3001.182;1855.5514;3001.67;1852.7987;3002.1911;1853.9259;2997.1047;1850.3757
1679480.0;3000.9727;1850.3162;3000.452;1853.1314;3002.0781;1853.7203;3001.1622;1855.4451;3001.7884;1852.6916;3002.0855;1853.7992;2997.0615;1850.4792
1679500.0;3001.0026;1850.1629;3000.5124;1853.1783;3002.0599;1853.6956;3001.1251;1855.3494;3001.9111;1852.596;3001.9947;1853.651;2997.0353;1850.5604
