Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m)
2025760.0;6537.3691;15856.9216;6537.0827;15860.0856;6539.6274;15856.9305;6536.9098;15856.2;6536.6977;15864.5805;6537.4727;15859.647;6539.4412;15857.7778;6543.829;15857.178;6542.7603;15859.7863
2025780.0;6536.1374;15854.637;6535.9798;15857.7514;6538.5675;15854.5978;6535.6747;15853.9144;6535.6016;15862.2789;6536.2261;15857.3983;6538.1694;15855.5386;6542.8559;15854.8987;6541.6445;15857.5531
2025800.0;6534.8865;15852.3326;6534.8334;15855.4351;6537.4592;15852.2765;6534.3835;15851.6189;6534.461;15859.986;6534.9325;15855.1667;6536.8349;15853.3214;6541.8068;15852.6168;6540.4933;15855.3259
2025820.0;6533.6269;15850.0088;6533.6268;15853.1402;6536.2962;15849.9664;6533.0347;15849.3242;6533.2721;15857.7158;6533.5919;15852.9553;6535.4478;15851.1206;6540.6857;15850.3358;6539.3034;15853.1013
2025840.0;6532.3686;15847.6695;6532.3437;15850.8746;6535.077;15847.6699;6531.6303;15847.0421;6532.0302;15855.4831;6532.2053;15850.7655;6534.0228;15848.9272;6539.5056;15848.0658;6538.0722;15850.8775
2025860.0;6531.1151;15845.3225;6530.9801;15848.6446;6533.8051;15845.3905;6530.1783;15844.7755;6530.7317;15853.2962;6530.7759;15848.5962;6532.5762;15846.7287;6538.2831;15845.8165;6536.8007;15848.6536
2025880.0;6529.8604;15842.9791;6529.5528;15846.4464;6532.4899;15843.1294;6528.6937;15842.5172;6529.3784;15851.1512;6529.3097;15846.4432;6531.1222;15844.5119;6537.0327;15843.5881;6535.4961;15846.429
2025900.0;6528.5932;15840.6494;6528.0971;15844.2629;6531.1447;15840.8831;6527.198;15840.2574;6527.9836;15849.0305;6527.8188;15844.299;6529.6693;15842.2684;6535.7655;15841.3692;6534.1714;15844.2018
2025920.0;6527.305;15838.3359;6526.6516;15842.07;6529.7851;15838.644;6525.7149;15837.9896;6526.5724;15846.9079;6526.3215;15842.154;6528.2205;15839.9975;6534.4913;15839.1426;6532.8426;15841.9687
2025940.0;6525.9971;15836.0316;6525.2433;15839.8475;6528.4278;15836.4011;6524.2649;15835.7107;6525.1769;15844.7569;6524.8399;15839.9973;6526.7761;15837.7042;6533.2206;15836.8946;6531.5245;15839.7243
2025960.0;6524.681;15833.7258;6523.8828;15837.588;6527.0902;15834.1434;6522.8626;15833.4147;6523.828;15842.5583;6523.3956;15837.8175;6525.3374;15835.395;6531.9644;15834.6194;6530.2274;15837.4636
2025980.0;6523.3732;15831.4112;6522.5684;15835.2976;6525.7888;15831.8627;6521.5155;15831.0912;6522.5477;15840.3054;6522.0053;15835.6033;6523.9093;15833.0729;6530.7325;15832.3174;6528.9562;15835.1842
2026000.0;6522.0909;15829.085;6521.294;15832.989;6524.5344;15829.5556;6520.2252;15828.7311;6521.3437;15838.0039;6520.6789;15833.3453;6522.5018;15830.7369;6529.533;15829.9909;6527.7112;15832.8876
2026020.0;6520.8473;15826.7415;6520.0559;15830.6696;6523.3277;15827.224;6518.9879;15826.3348;6520.2078;15835.6686;6519.4194;15831.0375;6521.1286;15828.3837;6528.3738;15827.6413;6526.4896;15830.5775
2026040.0;6519.6504;15824.3693;6518.8536;15828.3365;6522.1599;15824.8723;6517.7945;15823.9155;6519.1214;15833.3149;6518.225;15828.6798;6519.8037;15826.0119;6527.2612;15825.2707;6525.2884;15828.2563
2026060.0;6518.5011;15821.9592;6517.6892;15825.9812;6521.0192;15822.5069;6516.6329;15821.4946;6518.0642;15830.9523;6517.0923;15826.2801;6518.5357;15823.6237;6526.1952;15822.8837;6524.1059;15825.9236
2026080.0;6517.3959;15819.5143;6516.5627;15823.5976;6519.897;15820.1361;6515.4921;15819.0913;6517.0219;15828.5821;6516.017;15823.8513;6517.3257;15821.2243;6525.1626;15820.488;6522.9431;15823.5789
2026100.0;6516.3306;15817.0494;6515.4702;15821.1849;6518.79;15817.7686;6514.3651;15816.7121;6515.9882;15826.2015;6514.9924;15821.4046;6516.1698;15818.8189;6524.1375;15818.0932;6521.8021;15821.2243
2026120.0;6515.3047;15814.58;6514.4051;15818.7456;6517.6985;15815.4098;6513.2512;15814.3467;6514.9629;15823.809;6514.0073;15818.9451;6515.0646;15816.4108;6523.0924;15815.7093;6520.6833;15818.8637
2026140.0;6514.3219;15812.1146;6513.3594;15816.2831;6516.6261;15813.059;6512.1541;15811.9745;6513.9538;15821.4049;6513.0487;15816.4731;6514.0106;15814.001;6522.0111;15813.3462;6519.5833;15816.4989
2026160.0;6513.3866;15809.6559;6512.3276;15813.8027;6515.5802;15810.7094;6511.0791;15809.5782;6512.9766;15818.9887;6512.107;15813.9892;6513.0086;15811.5888;6520.896;15811.0098;6518.4954;15814.1273
2026180.0;6512.5009;15807.2061;6511.3094;15811.3108;6514.5709;15808.3514;6510.0302;15807.1517;6512.0524;15816.5565;6511.1779;15811.4961;6512.056;15809.1713;6519.7665;15808.6991;6517.4126;15811.7436
2026200.0;6511.6577;15804.768;6510.3098;15808.8138;6513.608;15805.9751;6509.0087;15804.698;6511.1996;15814.1016;6510.261;15808.9978;6511.1449;15806.7452;6518.6516;15806.4036;6516.3316;15809.3436
2026220.0;6510.8394;15802.3424;6509.3336;15806.3165;6512.6971;15803.5747;6508.0117;15802.2244;6510.4275;15811.6182;6509.3551;15806.4975;6510.2635;15804.3087;6517.5803;15804.1058;6515.2551;15806.9257
2026240.0;6510.0195;15799.9285;6508.3784;15803.8236;6511.8368;15801.1515;6507.0314;15799.7426;6509.7333;15809.1063;6508.455;15803.9971;6509.3976;15801.8651;6516.571;15801.7868;6514.1909;15804.4915
2026260.0;6509.1699;15797.5258;6507.4325;15801.3395;6511.019;15798.714;6506.0546;15797.2696;6509.1052;15806.5744;6507.5513;15801.4989;6508.5316;15799.4224;6515.6259;15799.4332;6513.1459;15802.0453
2026280.0;6508.269;15795.1364;6506.4794;15798.8665;6510.2305;15796.2751;6505.0644;15794.8218;6508.5265;15804.0374;6506.6313;15799.0058;6507.65;15796.9894;6514.7335;15797.0425;6512.123;15799.5922
2026300.0;6507.3046;15792.7635;6505.505;15796.403;6509.4557;15793.8476;6504.0456;15792.4058;6507.979;15801.5106;6505.6817;15796.5216;6506.7375;15794.5728;6513.8779;15794.6238;6511.1213;15797.1352
