Time(sentisec);X_A(m);Y_A(m);X_L(m);Y_L(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_E(m);Y_E(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m)
2229440.0;3002.5973;1847.5723;2995.6753;1855.3389;2996.3842;1847.5919;2987.2981;1857.0283;3004.2104;1851.0838;2994.6062;1848.108;2994.8472;1843.9092;3004.1192;1841.4184;2993.4189;1845.0642;3010.6495;1875.6126
2229460.0;3002.6855;1847.6721;2995.7951;1855.3245;2996.3772;1847.6553;2987.2096;1857.2297;3003.7298;1851.624;2994.5793;1848.0905;2995.1273;1843.763;3004.1119;1841.4358;2993.448;1844.919;3010.7252;1875.7212
2229460.0;3002.6855;1847.6721;2995.7951;1855.3245;2996.3772;1847.6553;2987.2096;1857.2297;3003.7298;1851.624;2994.5793;1848.0905;2995.1273;1843.763;3004.1119;1841.4358;2993.448;1844.919;3010.7252;1875.7212
2229480.0;3002.7817;1847.7859;2995.9352;1855.2885;2996.3623;1847.7374;2987.1117;1857.4505;3003.4631;1852.0152;2994.5615;1848.0595;2995.472;1843.6279;3004.0942;1841.442;2993.4757;1844.7328;3010.8009;1875.8298
2229480.0;3002.7817;1847.7859;2995.9352;1855.2885;2996.3623;1847.7374;2987.1117;1857.4505;3003.4631;1852.0152;2994.5615;1848.0595;2995.472;1843.6279;3004.0942;1841.442;2993.4757;1844.7328;3010.8009;1875.8298
2229500.0;3002.8879;1847.8821;2996.1089;1855.2117;2996.3401;1847.8318;2987.0045;1857.6927;3003.453;1852.1632;2994.5515;1848.0229;2995.8688;1843.5011;3004.0761;1841.4424;2993.5147;1844.4829;3010.8766;1875.9383
2229500.0;3002.8879;1847.8821;2996.1089;1855.2117;2996.3401;1847.8318;2987.0045;1857.6927;3003.453;1852.1632;2994.5515;1848.0229;2995.8688;1843.5011;3004.0761;1841.4424;2993.5147;1844.4829;3010.8766;1875.9383
2229520.0;3003.0131;1847.9338;2996.3243;1855.0772;2996.3151;1847.9274;2986.8885;1857.9502;3003.6518;1852.083;2994.5483;1847.9903;2996.3027;1843.3822;3004.0658;1841.4383;2993.5814;1844.1224;3010.9523;1876.0469
2229520.0;3003.0131;1847.9338;2996.3243;1855.0772;2996.3151;1847.9274;2986.8885;1857.9502;3003.6518;1852.083;2994.5483;1847.9903;2996.3027;1843.3822;3004.0658;1841.4383;2993.5814;1844.1224;3010.9523;1876.0469
2229540.0;3003.1597;1847.9348;2996.5783;1854.8801;2996.2927;1848.0107;2986.7661;1858.212;3003.99;1851.8481;2994.5532;1847.9678;2996.7585;1843.2731;3004.0653;1841.4271;2993.6974;1843.5993;3011.028;1876.1555
