Time(sentisec);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m);X_M(m);Y_M(m)
5398840.0;2994.4967;1848.654;2994.7219;1851.057;2991.8419;1852.3879;2990.2201;1847.4423;2991.1966;1850.5057;2995.788;1842.9275;2982.0025;1856.1656;2993.6623;1850.752;2991.824;1848.2344
5398860.0;2994.5041;1848.6653;2994.4421;1850.964;2991.7426;1852.3178;2990.2445;1847.5243;2991.1718;1850.5678;2995.7921;1842.9576;2982.2192;1856.0412;2993.6619;1850.8048;2991.7068;1848.4304
5398880.0;2994.5069;1848.6768;2994.1148;1850.8763;2991.5778;1852.1885;2990.2715;1847.5756;2991.1508;1850.6105;2995.8235;1842.99;2982.5075;1855.8958;2993.6896;1850.8365;2991.6627;1848.5987
5398900.0;2994.5069;1848.6845;2993.7256;1850.782;2991.3885;1852.0285;2990.306;1847.5878;2991.1387;1850.6042;2995.8907;1843.029;2982.8991;1855.6868;2993.7457;1850.8395;2991.696;1848.7188
5398920.0;2994.5035;1848.6882;2993.2574;1850.6658;2991.2138;1851.8715;2990.3496;1847.5696;2991.1379;1850.5414;2996.0008;1843.0656;2983.403;1855.3878;2993.8333;1850.8102;2991.775;1848.8008
5398940.0;2994.494;1848.6899;2992.7174;1850.5241;2991.0761;1851.7436;2990.3988;1847.5348;2991.1474;1850.4344;2996.1531;1843.0799;2983.9917;1855.0064;2993.9579;1850.7493;2991.8441;1848.8828
5398960.0;2994.4743;1848.692;2992.1532;1850.3756;2990.9745;1851.6497;2990.4461;1847.4953;2991.1639;1850.3054;2996.3337;1843.055;2984.6058;1854.584;2994.1162;1850.6643;2991.8574;1848.9965
5398980.0;2994.4404;1848.697;2991.6346;1850.2489;2990.8947;1851.5791;2990.4836;1847.4616;2991.183;1850.1805;2996.5137;1842.9928;2985.1786;1854.1756;2994.2856;1850.5702;2991.8055;1849.1406
5399000.0;2994.3912;1848.709;2991.2153;1850.1573;2990.8227;1851.5162;2990.5059;1847.4485;2991.2027;1850.0891;2996.6579;1842.9155;2985.6674;1853.8263;2994.4328;1850.4851;2991.7128;1849.2919
5399020.0;2994.3295;1848.7315;2990.912;1850.0868;2990.7536;1851.4499;2990.5148;1847.4703;2991.2265;1850.0632;2996.7374;1842.8525;2986.0707;1853.5492;2994.5333;1850.4223;2991.6128;1849.4318
5399040.0;2994.2624;1848.7637;2990.7114;1850.0098;2990.6898;1851.3758;2990.5171;1847.5331;2991.2612;1850.1227;2996.7402;1842.825;2986.4206;1853.3235;2994.5821;1850.3849;2991.5279;1849.5597
