Time(sentisec);X_B(m);Y_B(m);X_C(m);Y_C(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_L(m);Y_L(m);X_M(m);Y_M(m)
1469820.0;2990.6757;1858.3201;2990.7403;1835.7051;3009.1935;1838.6509;2996.1285;1838.4634;2990.3243;1842.2288;2990.7699;1863.2151;2996.3112;1847.2351
1469840.0;2990.5817;1860.1368;2990.7686;1835.4322;3009.5459;1837.7994;2995.4282;1839.0037;2990.2706;1842.0836;2990.5235;1863.5097;2996.346;1847.2193
1469860.0;2990.4242;1861.388;2990.713;1835.5002;3009.8183;1837.1159;2994.8843;1839.4262;2990.2193;1841.9376;2990.2555;1863.84;2996.3822;1847.2039
1469880.0;2990.2229;1861.9111;2990.6022;1835.8862;3010.0015;1836.6414;2994.4754;1839.7332;2990.1735;1841.7842;2989.9784;1864.185;2996.4104;1847.1934
1469900.0;2990.0254;1861.8992;2990.4949;1836.4051;3010.1133;1836.3738;2994.1485;1839.96;2990.1384;1841.6177;2989.7077;1864.5277;2996.4245;1847.1824
1469920.0;2989.8725;1861.7973;2990.4478;1836.7339;3010.1941;1836.2517;2993.8424;1840.1605;2990.1205;1841.4353;2989.455;1864.8622;2996.4202;1847.1629
1469940.0;2989.7711;1862.0497;2990.4932;1836.5878;3010.2877;1836.1738;2993.5105;1840.3781;2990.1269;1841.2342;2989.2247;1865.1903;2996.3975;1847.1317
1469960.0;2989.6918;1862.8335;2990.6289;1835.9335;3010.419;1836.0488;2993.1339;1840.6278;2990.1613;1841.0127;2989.0163;1865.5111;2996.3631;1847.0942
1469980.0;2989.5961;1863.9894;2990.8243;1835.0094;3010.5854;1835.8385;2992.7208;1840.8994;2990.2184;1840.7765;2988.8297;1865.8194;2996.3295;1847.0582
1470000.0;2989.4644;1865.1427;2991.038;1834.1263;3010.7624;1835.5711;2992.2964;1841.172;2990.2822;1840.5418;2988.6658;1866.108;2996.3104;1847.0281
1470020.0;2989.3083;1865.9502;2991.2391;1833.4423;3010.9188;1835.3147;2991.8898;1841.4257;2990.3341;1840.3282;2988.5229;1866.3747;2996.3122;1847.0046
1470040.0;2989.1606;1866.2745;2991.4226;1832.9009;3011.0328;1835.1317;2991.5204;1841.6526;2990.3638;1840.1455;2988.3983;1866.6223;2996.3312;1846.9884
1470060.0;2989.0578;1866.2497;2991.6084;1832.3215;3011.1002;1835.0443;2991.1901;1841.8613;2990.374;1839.9906;2988.2919;1866.8538;2996.354;1846.9815
1470080.0;2989.0183;1866.1446;2991.8245;1831.5394;3011.1304;1835.0352;2990.8802;1842.0763;2990.3737;1839.8549;2988.2176;1867.0652;2996.3681;1846.9841
1470100.0;2989.0366;1866.1395;2992.0837;1830.5018;3011.1369;1835.0632;2990.5608;1842.3267;2990.37;1839.733;2988.2059;1867.2348;2996.3696;1846.9898
1470120.0;2989.0964;1866.2228;2992.3661;1829.3294;3011.1313;1835.0862;2990.2072;1842.6281;2990.3649;1839.625;2988.2878;1867.3256;2996.3621;1846.9881
1470140.0;2989.1851;1866.2584;2992.623;1828.3086;3011.1231;1835.0748;2989.8141;1842.9752;2990.3562;1839.5332;2988.4657;1867.3024;2996.3463;1846.9707
1470160.0;2989.3033;1866.1334;2992.8014;1827.8115;3011.1212;1835.021;2989.3922;1843.3489;2990.3416;1839.4551;2988.6926;1867.1622;2996.3191;1846.9369
1470180.0;2989.4573;1865.8294;2992.8685;1828.1417;3011.1307;1834.9387;2988.9581;1843.7242;2990.3218;1839.3796;2988.8914;1866.9468;2996.2777;1846.8929
1470200.0;2989.6501;1865.3813;2992.8239;1829.3926;3011.1495;1834.856;2988.5248;1844.0811;2990.3015;1839.2925;2989.0008;1866.7239;2996.2224;1846.8475
1470220.0;2989.8787;1864.836;2992.6923;1831.4068;3011.1719;1834.8027;2988.1063;1844.4066;2990.2864;1839.1861;2989.0086;1866.5506;2996.1551;1846.8072
1470240.0;2990.127;1864.2357;2992.5101;1833.8852;3011.1941;1834.804;2987.7257;1844.6945;2990.2781;1839.0658;2988.9428;1866.4562;2996.0763;1846.7788
1470260.0;2990.361;1863.6413;2992.3085;1836.5486;3011.2166;1834.8765;2987.4104;1844.942;2990.2732;1838.9449;2988.8408;1866.4504;2995.987;1846.772
1470280.0;2990.5291;1863.1241;2992.1065;1839.2377;3011.2399;1835.0273;2987.176;1845.1479;2990.2677;1838.8341;2988.7267;1866.5364;2995.8919;1846.7949
1470300.0;2990.5889;1862.748;2991.9093;1841.9023;3011.2593;1835.2554;2987.0168;1845.3155;2990.2623;1838.7373;2988.6085;1866.7089;2995.7993;1846.8449
1470320.0;2990.5431;1862.5418;2991.7152;1844.5408;3011.2651;1835.5543;2986.9112;1845.4605;2990.2605;1838.6545;2988.49;1866.9464;2995.7159;1846.9062
1470340.0;2990.4398;1862.4896;2991.5209;1847.1576;3011.2485;1835.9105;2986.8341;1845.6061;2990.2651;1838.5846;2988.3738;1867.2163;2995.6424;1846.9591
1470360.0;2990.3306;1862.5391;2991.3243;1849.7455;3011.2077;1836.301;2986.7666;1845.7676;2990.2742;1838.5253;2988.263;1867.4923;2995.5739;1846.9924
1470380.0;2990.2368;1862.6272;2991.1261;1852.3088;3011.1481;1836.6987;2986.6967;1845.9448;2990.2823;1838.4696;2988.1568;1867.7631;2995.5057;1847.0047
1470400.0;2990.1549;1862.702;2990.9279;1854.8827;3011.0769;1837.0863;2986.6173;1846.1266;2990.2826;1838.4086;2988.0486;1868.0336;2995.4386;1846.9982
1470420.0;2990.0848;1862.7375;2990.7311;1857.5485;3010.9968;1837.463;2986.5277;1846.3009;2990.2705;1838.3365;2987.9296;1868.3133;2995.3778;1846.9741
1470440.0;2990.0444;1862.7337;2990.5368;1860.3813;3010.9064;1837.8388;2986.4272;1846.4626;2990.2453;1838.2543;2987.7937;1868.6117;2995.3291;1846.9333
1470460.0;2990.0516;1862.7066;2990.3472;1863.3989;3010.8057;1838.2227;2986.3116;1846.6091;2990.2115;1838.1687;2987.6409;1868.9335;2995.2955;1846.8791
